#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,7.882517678608952,49.96082277099151,333.8281008077446,0
1000,2.0000000000000013,14.156315068224284,38.774626969593704,259.0842056409019,25.5
1500,2.999999999999891,5.092355766579445,48.92593451636154,326.9131870527222,25.4
2000,3.999999999999781,10.853724625328093,44.68593350328553,298.58235887348917,25.4
2500,4.999999999999671,17.149753345699427,55.4690988096067,370.6332858849483,25.4
3000,5.999999999999561,13.518282392887622,42.83205016524466,286.1950858156755,25.6
3500,6.999999999999451,13.355291690093749,45.76333170642895,305.78131549631473,25.5
4000,7.999999999999341,19.205778372908927,53.26041234653307,355.8752901924565,25.5
4500,8.999999999999675,21.374616481860524,42.33727352220923,282.88908847800855,25.5
5000,10.000000000000009,22.389582657958233,46.950045757173974,313.71069847661454,25.5
5500,11.000000000000343,4.700295276861691,68.61482673328953,458.470377892296,25.5
6000,12.000000000000677,22.281189774295907,38.28172527312381,255.79073631651366,25.5
6500,13.00000000000101,20.954900845552274,64.44228844734728,430.59032199472864,25.5
7000,14.000000000001345,36.02325719123133,37.98499218919545,253.8080259374495,25.5
7500,15.000000000001679,15.44380599178933,66.29801589323431,442.9899170077428,25.6
8000,16.00000000000201,19.804172271369147,25.56686510746284,170.8326154185697,25.6
8500,17.000000000001457,19.27154740831448,35.051037294915915,234.2039334527755,25.6
9000,18.000000000000902,9.523318747004957,41.10861426982203,274.6794361541394,25.6
9500,19.000000000000348,12.0797513917178,43.91725915088054,293.4462325054508,25.7
10000,19.999999999999794,10.858997165893344,59.031837486379345,394.4387842770178,25.7
10500,20.99999999999924,13.503987434119646,36.01825926480708,240.6667147954352,25.7
11000,21.999999999998685,14.567883241470794,41.07493603430701,274.4544050041908,25.7
11500,22.99999999999813,6.084882254151591,41.108682754094936,274.6798937521831,25.7
12000,23.999999999997577,7.837550437513091,52.143615192829046,348.41307776017885,25.7
12500,24.999999999997023,11.945580686956571,60.98505216140307,407.48976921419097,25.7
13000,25.99999999999647,25.353799431431256,27.25196235381547,182.09209399050548,25.7
13500,26.999999999995914,13.630717604357383,36.759921346772096,245.62235064231433,25.7
14000,27.99999999999536,3.801880549836648,49.88383561449511,333.31368821775214,25.8
14500,28.999999999994806,12.200113027036968,59.06434489886769,394.6559922245911,25.8
15000,29.99999999999425,4.7690412812545215,28.26071167353834,188.83235267555088,25.8
15500,30.999999999993697,7.452558162858697,53.948536439349574,360.4731960371609,25.8
16000,31.999999999993143,8.590258030673835,48.07075021128704,321.1990186990063,25.8
16500,32.999999999994365,6.447089311255709,40.26624475677167,269.0508936457638,25.8
17000,33.99999999999559,6.931245286229884,28.20099856136073,188.43336175174358,25.9
17500,34.99999999999681,9.205383288568244,44.738957672744874,298.93665563654804,25.9
18000,35.99999999999803,5.4368100014467675,51.300919627308325,342.7823566352211,25.9
18500,36.999999999999254,9.203622357219743,56.15239910809086,375.19896011273096,25.9
19000,38.000000000000476,7.522880143083851,37.85625706089873,252.94784387872872,25.9
19500,39.0000000000017,7.75427362357706,50.68656082856495,338.6773355482163,25.9
20000,40.00000000000292,17.271787316984668,33.89672985424351,226.49108487871928,25.9
